제목,평점,개봉,연간,누적
수상한 그녀,8.8, 2014.01.22. ,8658002,8660623
변호인,9.3, 2013.12.18. ,5688905,11375123
국제시장,7.1, 2014.12.17. ,4869157,14263945
트랜스포머: 사라진 시대,6.2, 2014.06.25. ,5295929,5295836
군도: 민란의 시대,7.2, 2014.07.23. ,4774751,4775811
엣지 오브 투모로우,8.1, 2014.06.04. ,4697209,4699307
엑스맨: 데이즈 오브 퓨처 패스트,7.9, 2014.05.22. ,4313446,4313871
어메이징 스파이더맨 2,6.6, 2014.04.23. ,4164946,4168353
타짜-신의 손,6.2, 2014.09.03. ,4015364,4015361
혹성탈출: 반격의 서막,7.5, 2014.07.10. ,4002539,4002560
캡틴 아메리카: 윈터 솔져,8.2, 2014.03.26. ,3962812,3963964
역린,7.3, 2014.04.30. ,3849456,3849700
"님아, 그 강을 건너지 마오",9.0, 2014.11.27. ,3732410,4802416
신의 한 수,7.1, 2014.07.03. ,3566824,3566852
끝까지 간다,8.4, 2014.05.29. ,3448583,3450381
비긴 어게인,8.3, 2014.08.13. ,3427520,3463480
드래곤 길들이기 2,8.3, 2014.07.23. ,3000100,2999906
표적,6.6, 2014.04.30. ,2841824,2841884
메이즈 러너,7.1, 2014.09.18. ,2812421,2812429
호빗: 다섯 군대 전투,8.1, 2014.12.17. ,2448124,2836774
나의 사랑 나의 신부,7.0, 2014.10.08. ,,2141197
논스톱,7.8, 2014.02.27. ,,2084457
인투 더 스톰,7.3, 2014.08.28. ,,2078825
노아,5.3, 2014.03.20. ,,2026574
남자가 사랑할 때,8.0, 2014.01.22. ,,1980120
루시,6.7, 2014.09.03. ,,1974893
7번방의 선물,8.7, 2013.01.23. ,12811206,12812144
설국열차,7.1, 2013.08.01. ,9349991,9353792
관상,8.0, 2013.09.11. ,9134586,9135806
아이언맨 3,8.3, 2013.04.25. ,9001309,9001679
베를린,7.9, 2013.01.30. ,7166290,7166688
은밀하게 위대하게,7.1, 2013.06.05. ,6959083,6959083
변호인,9.3, 2013.12.18. ,5687052,11375123
숨바꼭질,5.9, 2013.08.14. ,5604104,5604106
더 테러 라이브,8.3, 2013.07.31. ,5584146,5584295
감시자들,7.3, 2013.07.03. ,5508017,5509019
월드 워 Z,7.3, 2013.06.20. ,5237525,5244336
신세계,8.6, 2020.05.21. ,4682492,4689161
박수건달,7.4, 2013.01.09. ,3893216,3897969
스파이,6.3, 2013.09.05. ,3435801,3436092
그래비티,8.1, 2018.08.29. ,3194695,3280151
타워,6.7, 2012.12.25. ,3166425,5181244
감기,7.0, 2013.08.14. ,3117856,3117859
